,identifier,source,annotation
20454,PHOP_ECOLI,Gene Ontology (molecular function), transcription cis-regulatory region binding [GO:0000976]
20455,PHOP_ECOLI,Gene Ontology (cellular component), protein-DNA complex [GO:0032993]
20456,PHOP_ECOLI,Gene Ontology (biological process), regulation of DNA-templated transcription [GO:0006355]
20457,P23837,Gene Ontology (biological process),cellular response to magnesium starvation [GO:0010350]
20458,P23837,Gene Ontology (cellular component),plasma membrane [GO:0005886]
20459,P23837,Gene Ontology (molecular function),ATP binding [GO:0005524]
20460,P23837,Gene Ontology (molecular function), identical protein binding [GO:0042802]
20461,P23837,Gene Ontology (molecular function), kinase activity [GO:0016301]
20462,P23837,Gene Ontology (molecular function), metal ion binding [GO:0046872]
20463,P23837,Gene Ontology (molecular function), phosphoprotein phosphatase activity [GO:0004721]
20464,P23837,Gene Ontology (molecular function), phosphorelay sensor kinase activity [GO:0000155]
20465,P23837,Gene Ontology (biological process), osmosensory signaling via phosphorelay pathway [GO:0007234]
20466,P23837,Gene Ontology (biological process), phosphorelay signal transduction system [GO:0000160]
20467,P23837,Gene Ontology (biological process), signal transduction [GO:0007165]
20468,PHOQ_ECOLI,Gene Ontology (biological process),cellular response to magnesium starvation [GO:0010350]
20469,PHOQ_ECOLI,Gene Ontology (cellular component),plasma membrane [GO:0005886]
20470,PHOQ_ECOLI,Gene Ontology (molecular function),ATP binding [GO:0005524]
20471,PHOQ_ECOLI,Gene Ontology (molecular function), identical protein binding [GO:0042802]
20472,PHOQ_ECOLI,Gene Ontology (molecular function), kinase activity [GO:0016301]
20473,PHOQ_ECOLI,Gene Ontology (molecular function), metal ion binding [GO:0046872]
20474,PHOQ_ECOLI,Gene Ontology (molecular function), phosphoprotein phosphatase activity [GO:0004721]
20475,PHOQ_ECOLI,Gene Ontology (molecular function), phosphorelay sensor kinase activity [GO:0000155]
20476,PHOQ_ECOLI,Gene Ontology (biological process), osmosensory signaling via phosphorelay pathway [GO:0007234]
20477,PHOQ_ECOLI,Gene Ontology (biological process), phosphorelay signal transduction system [GO:0000160]
20478,PHOQ_ECOLI,Gene Ontology (biological process), signal transduction [GO:0007165]
20479,P23839,Gene Ontology (biological process),RNA catabolic process [GO:0006401]
20480,P23839,Gene Ontology (cellular component),cytosol [GO:0005829]
20481,P23839,Gene Ontology (molecular function),"RNA endonuclease activity, producing 5'-phosphomonoesters [GO:0016891]"
20482,YICC_ECOLI,Gene Ontology (biological process),RNA catabolic process [GO:0006401]
20483,YICC_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
20484,YICC_ECOLI,Gene Ontology (molecular function),"RNA endonuclease activity, producing 5'-phosphomonoesters [GO:0016891]"
20485,P23842,Gene Ontology (biological process),regulation of single-species biofilm formation [GO:1900190]
20486,P23842,Gene Ontology (cellular component),plasma membrane [GO:0005886]
20487,P23842,Gene Ontology (molecular function),cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]
20488,PDEA_ECOLI,Gene Ontology (biological process),regulation of single-species biofilm formation [GO:1900190]
20489,PDEA_ECOLI,Gene Ontology (cellular component),plasma membrane [GO:0005886]
20490,PDEA_ECOLI,Gene Ontology (molecular function),cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]
20491,P23843,Gene Ontology (biological process),chaperone-mediated protein folding [GO:0061077]
20492,P23843,Gene Ontology (cellular component),"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]"
20493,P23843,Gene Ontology (molecular function),oligopeptide binding [GO:1900750]
20494,P23843,Gene Ontology (molecular function), peptide transmembrane transporter activity [GO:1904680]
20495,P23843,Gene Ontology (cellular component), membrane [GO:0016020]
20496,P23843,Gene Ontology (cellular component), outer membrane-bounded periplasmic space [GO:0030288]
20497,P23843,Gene Ontology (biological process), oligopeptide import across plasma membrane [GO:0140205]
20498,P23843,Gene Ontology (biological process), oligopeptide transport [GO:0006857]
20499,P23843,Gene Ontology (biological process), peptide transport [GO:0015833]
20500,P23843,Gene Ontology (biological process), protein transport [GO:0015031]
20501,P23843,Gene Ontology (biological process), response to heat [GO:0009408]
20502,OPPA_ECOLI,Gene Ontology (biological process),chaperone-mediated protein folding [GO:0061077]
20503,OPPA_ECOLI,Gene Ontology (cellular component),"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]"
