,identifier,source,annotation
6,P00350,Gene Ontology (biological process),D-gluconate catabolic process [GO:0046177]
7,P00350,Gene Ontology (cellular component),cytosol [GO:0005829]
8,P00350,Gene Ontology (molecular function),guanosine tetraphosphate binding [GO:0097216]
9,P00350,Gene Ontology (molecular function), identical protein binding [GO:0042802]
10,P00350,Gene Ontology (molecular function), NADP binding [GO:0050661]
11,P00350,Gene Ontology (molecular function), phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]
12,P00350,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
13,P00350,Gene Ontology (biological process), pentose-phosphate shunt [GO:0006098]
14,P00350,Gene Ontology (biological process)," pentose-phosphate shunt, oxidative branch [GO:0009051]"
15,6PGD_ECOLI,Gene Ontology (biological process),D-gluconate catabolic process [GO:0046177]
16,6PGD_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
17,6PGD_ECOLI,Gene Ontology (molecular function),guanosine tetraphosphate binding [GO:0097216]
18,6PGD_ECOLI,Gene Ontology (molecular function), identical protein binding [GO:0042802]
19,6PGD_ECOLI,Gene Ontology (molecular function), NADP binding [GO:0050661]
20,6PGD_ECOLI,Gene Ontology (molecular function), phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]
21,6PGD_ECOLI,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
22,6PGD_ECOLI,Gene Ontology (biological process), pentose-phosphate shunt [GO:0006098]
23,6PGD_ECOLI,Gene Ontology (biological process)," pentose-phosphate shunt, oxidative branch [GO:0009051]"
24,P00363,Gene Ontology (biological process),anaerobic electron transport chain [GO:0019645]
25,P00363,Gene Ontology (cellular component),cytosol [GO:0005829]
26,P00363,Gene Ontology (molecular function),electron transfer activity [GO:0009055]
27,P00363,Gene Ontology (molecular function), FAD binding [GO:0071949]
28,P00363,Gene Ontology (molecular function), flavin adenine dinucleotide binding [GO:0050660]
29,P00363,Gene Ontology (molecular function), succinate dehydrogenase (quinone) activity [GO:0008177]
30,P00363,Gene Ontology (molecular function), succinate dehydrogenase activity [GO:0000104]
31,P00363,Gene Ontology (cellular component), fumarate reductase complex [GO:0045283]
32,P00363,Gene Ontology (cellular component), membrane [GO:0016020]
33,P00363,Gene Ontology (cellular component), plasma membrane [GO:0005886]
34,P00363,Gene Ontology (biological process), anaerobic respiration [GO:0009061]
35,P00363,Gene Ontology (biological process), bacterial-type flagellum assembly [GO:0044780]
36,P00363,Gene Ontology (biological process), DNA damage response [GO:0006974]
37,P00363,Gene Ontology (biological process), fermentation [GO:0006113]
38,FRDA_ECOLI,Gene Ontology (biological process),anaerobic electron transport chain [GO:0019645]
39,FRDA_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
40,FRDA_ECOLI,Gene Ontology (molecular function),electron transfer activity [GO:0009055]
41,FRDA_ECOLI,Gene Ontology (molecular function), FAD binding [GO:0071949]
42,FRDA_ECOLI,Gene Ontology (molecular function), flavin adenine dinucleotide binding [GO:0050660]
43,FRDA_ECOLI,Gene Ontology (molecular function), succinate dehydrogenase (quinone) activity [GO:0008177]
44,FRDA_ECOLI,Gene Ontology (molecular function), succinate dehydrogenase activity [GO:0000104]
45,FRDA_ECOLI,Gene Ontology (cellular component), fumarate reductase complex [GO:0045283]
46,FRDA_ECOLI,Gene Ontology (cellular component), membrane [GO:0016020]
47,FRDA_ECOLI,Gene Ontology (cellular component), plasma membrane [GO:0005886]
48,FRDA_ECOLI,Gene Ontology (biological process), anaerobic respiration [GO:0009061]
49,FRDA_ECOLI,Gene Ontology (biological process), bacterial-type flagellum assembly [GO:0044780]
50,FRDA_ECOLI,Gene Ontology (biological process), DNA damage response [GO:0006974]
51,FRDA_ECOLI,Gene Ontology (biological process), fermentation [GO:0006113]
52,P00370,Gene Ontology (biological process),glutamate biosynthetic process [GO:0006537]
53,P00370,Gene Ontology (cellular component),cytoplasm [GO:0005737]
54,P00370,Gene Ontology (molecular function),glutamate dehydrogenase (NADP+) activity [GO:0004354]
55,P00370,Gene Ontology (molecular function), guanosine tetraphosphate binding [GO:0097216]
56,P00370,Gene Ontology (molecular function), identical protein binding [GO:0042802]
57,P00370,Gene Ontology (cellular component), cytosol [GO:0005829]
58,P00370,Gene Ontology (cellular component), glutamate dehydrogenase complex [GO:1990148]
59,P00370,Gene Ontology (biological process), glutamate metabolic process [GO:0006536]
60,DHE4_ECOLI,Gene Ontology (biological process),glutamate biosynthetic process [GO:0006537]
61,DHE4_ECOLI,Gene Ontology (cellular component),cytoplasm [GO:0005737]
62,DHE4_ECOLI,Gene Ontology (molecular function),glutamate dehydrogenase (NADP+) activity [GO:0004354]
63,DHE4_ECOLI,Gene Ontology (molecular function), guanosine tetraphosphate binding [GO:0097216]
64,DHE4_ECOLI,Gene Ontology (molecular function), identical protein binding [GO:0042802]
65,DHE4_ECOLI,Gene Ontology (cellular component), cytosol [GO:0005829]
66,DHE4_ECOLI,Gene Ontology (cellular component), glutamate dehydrogenase complex [GO:1990148]
67,DHE4_ECOLI,Gene Ontology (biological process), glutamate metabolic process [GO:0006536]
68,P00393,Gene Ontology (biological process),aerobic electron transport chain [GO:0019646]
69,P00393,Gene Ontology (cellular component),NADH dehydrogenase complex [GO:0030964]
70,P00393,Gene Ontology (molecular function),cupric reductase (NADH) activity [GO:0008823]
71,P00393,Gene Ontology (molecular function), flavin adenine dinucleotide binding [GO:0050660]
72,P00393,Gene Ontology (molecular function), NADH dehydrogenase (ubiquinone) activity [GO:0008137]
73,P00393,Gene Ontology (molecular function), NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]
74,P00393,Gene Ontology (cellular component), plasma membrane [GO:0005886]
75,P00393,Gene Ontology (biological process), aerobic respiration [GO:0009060]
76,P00393,Gene Ontology (biological process), anaerobic respiration [GO:0009061]
77,P00393,Gene Ontology (biological process), copper ion homeostasis [GO:0055070]
78,NDH_ECOLI,Gene Ontology (biological process),aerobic electron transport chain [GO:0019646]
79,NDH_ECOLI,Gene Ontology (cellular component),NADH dehydrogenase complex [GO:0030964]
80,NDH_ECOLI,Gene Ontology (molecular function),cupric reductase (NADH) activity [GO:0008823]
81,NDH_ECOLI,Gene Ontology (molecular function), flavin adenine dinucleotide binding [GO:0050660]
82,NDH_ECOLI,Gene Ontology (molecular function), NADH dehydrogenase (ubiquinone) activity [GO:0008137]
83,NDH_ECOLI,Gene Ontology (molecular function), NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]
84,NDH_ECOLI,Gene Ontology (cellular component), plasma membrane [GO:0005886]
85,NDH_ECOLI,Gene Ontology (biological process), aerobic respiration [GO:0009060]
86,NDH_ECOLI,Gene Ontology (biological process), anaerobic respiration [GO:0009061]
87,NDH_ECOLI,Gene Ontology (biological process), copper ion homeostasis [GO:0055070]
88,P00448,Gene Ontology (biological process),cellular response to selenium ion [GO:0071291]
89,P00448,Gene Ontology (cellular component),cytoplasm [GO:0005737]
90,P00448,Gene Ontology (molecular function),antioxidant activity [GO:0016209]
91,P00448,Gene Ontology (molecular function), DNA binding [GO:0003677]
92,P00448,Gene Ontology (molecular function), manganese ion binding [GO:0030145]
93,P00448,Gene Ontology (molecular function), metal ion binding [GO:0046872]
94,P00448,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
95,P00448,Gene Ontology (molecular function), superoxide dismutase activity [GO:0004784]
96,P00448,Gene Ontology (cellular component), cytosol [GO:0005829]
97,P00448,Gene Ontology (biological process), removal of superoxide radicals [GO:0019430]
98,P00448,Gene Ontology (biological process), response to acidic pH [GO:0010447]
99,P00448,Gene Ontology (biological process), response to heat [GO:0009408]
100,P00448,Gene Ontology (biological process), response to oxidative stress [GO:0006979]
101,P00448,Gene Ontology (biological process), superoxide metabolic process [GO:0006801]
102,SODM_ECOLI,Gene Ontology (biological process),cellular response to selenium ion [GO:0071291]
103,SODM_ECOLI,Gene Ontology (cellular component),cytoplasm [GO:0005737]
104,SODM_ECOLI,Gene Ontology (molecular function),antioxidant activity [GO:0016209]
105,SODM_ECOLI,Gene Ontology (molecular function), DNA binding [GO:0003677]
106,SODM_ECOLI,Gene Ontology (molecular function), manganese ion binding [GO:0030145]
107,SODM_ECOLI,Gene Ontology (molecular function), metal ion binding [GO:0046872]
108,SODM_ECOLI,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
109,SODM_ECOLI,Gene Ontology (molecular function), superoxide dismutase activity [GO:0004784]
110,SODM_ECOLI,Gene Ontology (cellular component), cytosol [GO:0005829]
111,SODM_ECOLI,Gene Ontology (biological process), removal of superoxide radicals [GO:0019430]
112,SODM_ECOLI,Gene Ontology (biological process), response to acidic pH [GO:0010447]
113,SODM_ECOLI,Gene Ontology (biological process), response to heat [GO:0009408]
114,SODM_ECOLI,Gene Ontology (biological process), response to oxidative stress [GO:0006979]
115,SODM_ECOLI,Gene Ontology (biological process), superoxide metabolic process [GO:0006801]
116,P00452,Gene Ontology (biological process),2'-deoxyribonucleotide biosynthetic process [GO:0009265]
117,P00452,Gene Ontology (cellular component),cytosol [GO:0005829]
118,P00452,Gene Ontology (molecular function),ATP binding [GO:0005524]
119,P00452,Gene Ontology (molecular function), identical protein binding [GO:0042802]
120,P00452,Gene Ontology (molecular function), protein folding chaperone [GO:0044183]
121,P00452,Gene Ontology (molecular function)," ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]"
122,P00452,Gene Ontology (cellular component), ribonucleoside-diphosphate reductase complex [GO:0005971]
123,P00452,Gene Ontology (biological process), deoxyribonucleotide biosynthetic process [GO:0009263]
124,P00452,Gene Ontology (biological process), nucleobase-containing small molecule interconversion [GO:0015949]
125,P00452,Gene Ontology (biological process), ribonucleoside diphosphate metabolic process [GO:0009185]
126,RIR1_ECOLI,Gene Ontology (biological process),2'-deoxyribonucleotide biosynthetic process [GO:0009265]
127,RIR1_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
128,RIR1_ECOLI,Gene Ontology (molecular function),ATP binding [GO:0005524]
129,RIR1_ECOLI,Gene Ontology (molecular function), identical protein binding [GO:0042802]
130,RIR1_ECOLI,Gene Ontology (molecular function), protein folding chaperone [GO:0044183]
131,RIR1_ECOLI,Gene Ontology (molecular function)," ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]"
132,RIR1_ECOLI,Gene Ontology (cellular component), ribonucleoside-diphosphate reductase complex [GO:0005971]
133,RIR1_ECOLI,Gene Ontology (biological process), deoxyribonucleotide biosynthetic process [GO:0009263]
134,RIR1_ECOLI,Gene Ontology (biological process), nucleobase-containing small molecule interconversion [GO:0015949]
135,RIR1_ECOLI,Gene Ontology (biological process), ribonucleoside diphosphate metabolic process [GO:0009185]
136,P00490,Gene Ontology (biological process),alpha-glucan catabolic process [GO:0030980]
137,P00490,Gene Ontology (cellular component),cytoplasm [GO:0005737]
138,P00490,Gene Ontology (molecular function),glycogen phosphorylase activity [GO:0008184]
139,P00490,Gene Ontology (molecular function), maltodextrin phosphorylase activity [GO:0031220]
140,P00490,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
141,P00490,Gene Ontology (molecular function), pyridoxal phosphate binding [GO:0030170]
142,P00490,Gene Ontology (cellular component), cytosol [GO:0005829]
143,P00490,Gene Ontology (biological process), glycogen catabolic process [GO:0005980]
144,PHSM_ECOLI,Gene Ontology (biological process),alpha-glucan catabolic process [GO:0030980]
145,PHSM_ECOLI,Gene Ontology (cellular component),cytoplasm [GO:0005737]
146,PHSM_ECOLI,Gene Ontology (molecular function),glycogen phosphorylase activity [GO:0008184]
147,PHSM_ECOLI,Gene Ontology (molecular function), maltodextrin phosphorylase activity [GO:0031220]
148,PHSM_ECOLI,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
149,PHSM_ECOLI,Gene Ontology (molecular function), pyridoxal phosphate binding [GO:0030170]
150,PHSM_ECOLI,Gene Ontology (cellular component), cytosol [GO:0005829]
151,PHSM_ECOLI,Gene Ontology (biological process), glycogen catabolic process [GO:0005980]
152,P00509,Gene Ontology (biological process),L-phenylalanine biosynthetic process [GO:0009094]
153,P00509,Gene Ontology (cellular component),cytoplasm [GO:0005737]
154,P00509,Gene Ontology (molecular function),identical protein binding [GO:0042802]
155,P00509,Gene Ontology (molecular function), L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]
156,P00509,Gene Ontology (molecular function), L-tyrosine-2-oxoglutarate transaminase activity [GO:0004838]
157,P00509,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
158,P00509,Gene Ontology (molecular function), pyridoxal phosphate binding [GO:0030170]
159,P00509,Gene Ontology (cellular component), cytosol [GO:0005829]
160,P00509,Gene Ontology (biological process), L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]
161,AAT_ECOLI,Gene Ontology (biological process),L-phenylalanine biosynthetic process [GO:0009094]
162,AAT_ECOLI,Gene Ontology (cellular component),cytoplasm [GO:0005737]
163,AAT_ECOLI,Gene Ontology (molecular function),identical protein binding [GO:0042802]
164,AAT_ECOLI,Gene Ontology (molecular function), L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]
165,AAT_ECOLI,Gene Ontology (molecular function), L-tyrosine-2-oxoglutarate transaminase activity [GO:0004838]
166,AAT_ECOLI,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
167,AAT_ECOLI,Gene Ontology (molecular function), pyridoxal phosphate binding [GO:0030170]
168,AAT_ECOLI,Gene Ontology (cellular component), cytosol [GO:0005829]
169,AAT_ECOLI,Gene Ontology (biological process), L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]
170,P00547,Gene Ontology (biological process),threonine biosynthetic process [GO:0009088]
171,P00547,Gene Ontology (cellular component),cytosol [GO:0005829]
172,P00547,Gene Ontology (molecular function),ATP binding [GO:0005524]
173,P00547,Gene Ontology (molecular function), homoserine kinase activity [GO:0004413]
174,KHSE_ECOLI,Gene Ontology (biological process),threonine biosynthetic process [GO:0009088]
175,KHSE_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
176,KHSE_ECOLI,Gene Ontology (molecular function),ATP binding [GO:0005524]
177,KHSE_ECOLI,Gene Ontology (molecular function), homoserine kinase activity [GO:0004413]
178,P00550,Gene Ontology (biological process),mannitol transmembrane transport [GO:0015797]
179,P00550,Gene Ontology (cellular component),plasma membrane [GO:0005886]
180,P00550,Gene Ontology (molecular function),kinase activity [GO:0016301]
181,P00550,Gene Ontology (molecular function), protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity [GO:0022872]
182,P00550,Gene Ontology (molecular function), protein-phosphocysteine-mannitol phosphotransferase system transporter activity [GO:0090565]
183,P00550,Gene Ontology (molecular function), protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]
184,P00550,Gene Ontology (biological process), phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
185,P00550,Gene Ontology (biological process), sorbitol transmembrane transport [GO:0015795]
186,PTM3C_ECOLI,Gene Ontology (biological process),mannitol transmembrane transport [GO:0015797]
187,PTM3C_ECOLI,Gene Ontology (cellular component),plasma membrane [GO:0005886]
188,PTM3C_ECOLI,Gene Ontology (molecular function),kinase activity [GO:0016301]
189,PTM3C_ECOLI,Gene Ontology (molecular function), protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity [GO:0022872]
190,PTM3C_ECOLI,Gene Ontology (molecular function), protein-phosphocysteine-mannitol phosphotransferase system transporter activity [GO:0090565]
191,PTM3C_ECOLI,Gene Ontology (molecular function), protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]
192,PTM3C_ECOLI,Gene Ontology (biological process), phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
193,PTM3C_ECOLI,Gene Ontology (biological process), sorbitol transmembrane transport [GO:0015795]
194,P00561,Gene Ontology (biological process),homoserine biosynthetic process [GO:0009090]
196,P00561,Gene Ontology (molecular function),aspartate kinase activity [GO:0004072]
197,P00561,Gene Ontology (molecular function), ATP binding [GO:0005524]
198,P00561,Gene Ontology (molecular function), homoserine dehydrogenase activity [GO:0004412]
199,P00561,Gene Ontology (molecular function), identical protein binding [GO:0042802]
200,P00561,Gene Ontology (molecular function), metal ion binding [GO:0046872]
201,P00561,Gene Ontology (molecular function), NAD+ binding [GO:0070403]
202,P00561,Gene Ontology (molecular function), NADP binding [GO:0050661]
203,P00561,Gene Ontology (biological process), lysine biosynthetic process via diaminopimelate [GO:0009089]
204,P00561,Gene Ontology (biological process), methionine biosynthetic process [GO:0009086]
205,P00561,Gene Ontology (biological process), protein homotetramerization [GO:0051289]
206,P00561,Gene Ontology (biological process), threonine biosynthetic process [GO:0009088]
207,AK1H_ECOLI,Gene Ontology (biological process),homoserine biosynthetic process [GO:0009090]
209,AK1H_ECOLI,Gene Ontology (molecular function),aspartate kinase activity [GO:0004072]
210,AK1H_ECOLI,Gene Ontology (molecular function), ATP binding [GO:0005524]
211,AK1H_ECOLI,Gene Ontology (molecular function), homoserine dehydrogenase activity [GO:0004412]
212,AK1H_ECOLI,Gene Ontology (molecular function), identical protein binding [GO:0042802]
213,AK1H_ECOLI,Gene Ontology (molecular function), metal ion binding [GO:0046872]
214,AK1H_ECOLI,Gene Ontology (molecular function), NAD+ binding [GO:0070403]
215,AK1H_ECOLI,Gene Ontology (molecular function), NADP binding [GO:0050661]
216,AK1H_ECOLI,Gene Ontology (biological process), lysine biosynthetic process via diaminopimelate [GO:0009089]
217,AK1H_ECOLI,Gene Ontology (biological process), methionine biosynthetic process [GO:0009086]
218,AK1H_ECOLI,Gene Ontology (biological process), protein homotetramerization [GO:0051289]
219,AK1H_ECOLI,Gene Ontology (biological process), threonine biosynthetic process [GO:0009088]
220,P00562,Gene Ontology (biological process),homoserine biosynthetic process [GO:0009090]
221,P00562,Gene Ontology (cellular component),cytosol [GO:0005829]
222,P00562,Gene Ontology (molecular function),aspartate kinase activity [GO:0004072]
223,P00562,Gene Ontology (molecular function), ATP binding [GO:0005524]
224,P00562,Gene Ontology (molecular function), homoserine dehydrogenase activity [GO:0004412]
225,P00562,Gene Ontology (molecular function), metal ion binding [GO:0046872]
226,P00562,Gene Ontology (molecular function), NAD+ binding [GO:0070403]
227,P00562,Gene Ontology (molecular function), NADP binding [GO:0050661]
228,P00562,Gene Ontology (biological process), lysine biosynthetic process via diaminopimelate [GO:0009089]
229,P00562,Gene Ontology (biological process), methionine biosynthetic process [GO:0009086]
230,P00562,Gene Ontology (biological process), threonine biosynthetic process [GO:0009088]
231,AK2H_ECOLI,Gene Ontology (biological process),homoserine biosynthetic process [GO:0009090]
232,AK2H_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
233,AK2H_ECOLI,Gene Ontology (molecular function),aspartate kinase activity [GO:0004072]
234,AK2H_ECOLI,Gene Ontology (molecular function), ATP binding [GO:0005524]
235,AK2H_ECOLI,Gene Ontology (molecular function), homoserine dehydrogenase activity [GO:0004412]
236,AK2H_ECOLI,Gene Ontology (molecular function), metal ion binding [GO:0046872]
237,AK2H_ECOLI,Gene Ontology (molecular function), NAD+ binding [GO:0070403]
238,AK2H_ECOLI,Gene Ontology (molecular function), NADP binding [GO:0050661]
239,AK2H_ECOLI,Gene Ontology (biological process), lysine biosynthetic process via diaminopimelate [GO:0009089]
240,AK2H_ECOLI,Gene Ontology (biological process), methionine biosynthetic process [GO:0009086]
241,AK2H_ECOLI,Gene Ontology (biological process), threonine biosynthetic process [GO:0009088]
242,P00579,Gene Ontology (biological process),DNA-templated transcription initiation [GO:0006352]
243,P00579,Gene Ontology (cellular component),cytosol [GO:0005829]
244,P00579,Gene Ontology (molecular function),DNA binding [GO:0003677]
245,P00579,Gene Ontology (molecular function), sigma factor activity [GO:0016987]
246,P00579,Gene Ontology (cellular component), cytosolic DNA-directed RNA polymerase complex [GO:0000345]
247,P00579,Gene Ontology (cellular component), sigma factor antagonist complex [GO:1903865]
248,P00579,Gene Ontology (biological process), negative regulation of DNA-templated transcription [GO:0045892]
249,P00579,Gene Ontology (biological process), regulation of DNA-templated transcription initiation [GO:2000142]
250,P00579,Gene Ontology (biological process), response to heat [GO:0009408]
251,RPOD_ECOLI,Gene Ontology (biological process),DNA-templated transcription initiation [GO:0006352]
252,RPOD_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
253,RPOD_ECOLI,Gene Ontology (molecular function),DNA binding [GO:0003677]
254,RPOD_ECOLI,Gene Ontology (molecular function), sigma factor activity [GO:0016987]
255,RPOD_ECOLI,Gene Ontology (cellular component), cytosolic DNA-directed RNA polymerase complex [GO:0000345]
256,RPOD_ECOLI,Gene Ontology (cellular component), sigma factor antagonist complex [GO:1903865]
257,RPOD_ECOLI,Gene Ontology (biological process), negative regulation of DNA-templated transcription [GO:0045892]
258,RPOD_ECOLI,Gene Ontology (biological process), regulation of DNA-templated transcription initiation [GO:2000142]
259,RPOD_ECOLI,Gene Ontology (biological process), response to heat [GO:0009408]
260,P00582,Gene Ontology (biological process),base-excision repair [GO:0006284]
261,P00582,Gene Ontology (cellular component),cytoplasm [GO:0005737]
262,P00582,Gene Ontology (molecular function),3'-5' exonuclease activity [GO:0008408]
263,P00582,Gene Ontology (molecular function), 5'-3' exonuclease activity [GO:0008409]
264,P00582,Gene Ontology (molecular function), DNA binding [GO:0003677]
265,P00582,Gene Ontology (molecular function), DNA-directed DNA polymerase activity [GO:0003887]
266,P00582,Gene Ontology (cellular component), cytosol [GO:0005829]
267,P00582,Gene Ontology (biological process), DNA repair [GO:0006281]
268,P00582,Gene Ontology (biological process), DNA replication [GO:0006260]
269,P00582,Gene Ontology (biological process), DNA-templated DNA replication [GO:0006261]
270,P00582,Gene Ontology (biological process), double-strand break repair [GO:0006302]
271,DPO1_ECOLI,Gene Ontology (biological process),base-excision repair [GO:0006284]
272,DPO1_ECOLI,Gene Ontology (cellular component),cytoplasm [GO:0005737]
273,DPO1_ECOLI,Gene Ontology (molecular function),3'-5' exonuclease activity [GO:0008408]
274,DPO1_ECOLI,Gene Ontology (molecular function), 5'-3' exonuclease activity [GO:0008409]
275,DPO1_ECOLI,Gene Ontology (molecular function), DNA binding [GO:0003677]
276,DPO1_ECOLI,Gene Ontology (molecular function), DNA-directed DNA polymerase activity [GO:0003887]
277,DPO1_ECOLI,Gene Ontology (cellular component), cytosol [GO:0005829]
278,DPO1_ECOLI,Gene Ontology (biological process), DNA repair [GO:0006281]
279,DPO1_ECOLI,Gene Ontology (biological process), DNA replication [GO:0006260]
280,DPO1_ECOLI,Gene Ontology (biological process), DNA-templated DNA replication [GO:0006261]
281,DPO1_ECOLI,Gene Ontology (biological process), double-strand break repair [GO:0006302]
282,P00634,Gene Ontology (biological process),protein dephosphorylation [GO:0006470]
283,P00634,Gene Ontology (cellular component),outer membrane-bounded periplasmic space [GO:0030288]
284,P00634,Gene Ontology (molecular function),alkaline phosphatase activity [GO:0004035]
285,P00634,Gene Ontology (molecular function), hydrogenase (acceptor) activity [GO:0033748]
286,P00634,Gene Ontology (molecular function), magnesium ion binding [GO:0000287]
287,P00634,Gene Ontology (molecular function)," oxidoreductase activity, acting on phosphorus or arsenic in donors [GO:0030613]"
288,P00634,Gene Ontology (molecular function), phosphoprotein phosphatase activity [GO:0004721]
289,P00634,Gene Ontology (molecular function), zinc ion binding [GO:0008270]
290,P00634,Gene Ontology (cellular component), periplasmic space [GO:0042597]
291,PPB_ECOLI,Gene Ontology (biological process),protein dephosphorylation [GO:0006470]
292,PPB_ECOLI,Gene Ontology (cellular component),outer membrane-bounded periplasmic space [GO:0030288]
293,PPB_ECOLI,Gene Ontology (molecular function),alkaline phosphatase activity [GO:0004035]
294,PPB_ECOLI,Gene Ontology (molecular function), hydrogenase (acceptor) activity [GO:0033748]
295,PPB_ECOLI,Gene Ontology (molecular function), magnesium ion binding [GO:0000287]
296,PPB_ECOLI,Gene Ontology (molecular function)," oxidoreductase activity, acting on phosphorus or arsenic in donors [GO:0030613]"
297,PPB_ECOLI,Gene Ontology (molecular function), phosphoprotein phosphatase activity [GO:0004721]
298,PPB_ECOLI,Gene Ontology (molecular function), zinc ion binding [GO:0008270]
299,PPB_ECOLI,Gene Ontology (cellular component), periplasmic space [GO:0042597]
300,P00803,Gene Ontology (biological process),protein processing [GO:0016485]
301,P00803,Gene Ontology (cellular component),plasma membrane [GO:0005886]
302,P00803,Gene Ontology (molecular function),endopeptidase activity [GO:0004175]
303,P00803,Gene Ontology (molecular function), peptidase activity [GO:0008233]
304,P00803,Gene Ontology (molecular function), serine-type endopeptidase activity [GO:0004252]
305,P00803,Gene Ontology (biological process), proteolysis [GO:0006508]
306,P00803,Gene Ontology (biological process), signal peptide processing [GO:0006465]
307,LEP_ECOLI,Gene Ontology (biological process),protein processing [GO:0016485]
308,LEP_ECOLI,Gene Ontology (cellular component),plasma membrane [GO:0005886]
309,LEP_ECOLI,Gene Ontology (molecular function),endopeptidase activity [GO:0004175]
310,LEP_ECOLI,Gene Ontology (molecular function), peptidase activity [GO:0008233]
311,LEP_ECOLI,Gene Ontology (molecular function), serine-type endopeptidase activity [GO:0004252]
312,LEP_ECOLI,Gene Ontology (biological process), proteolysis [GO:0006508]
313,LEP_ECOLI,Gene Ontology (biological process), signal peptide processing [GO:0006465]
314,P00805,Gene Ontology (biological process),asparagine catabolic process [GO:0006530]
315,P00805,Gene Ontology (cellular component),outer membrane-bounded periplasmic space [GO:0030288]
316,P00805,Gene Ontology (molecular function),asparaginase activity [GO:0004067]
317,P00805,Gene Ontology (molecular function), identical protein binding [GO:0042802]
318,P00805,Gene Ontology (cellular component), periplasmic space [GO:0042597]
319,P00805,Gene Ontology (cellular component), protein-containing complex [GO:0032991]
320,P00805,Gene Ontology (biological process), protein homotetramerization [GO:0051289]
321,ASPG2_ECOLI,Gene Ontology (biological process),asparagine catabolic process [GO:0006530]
322,ASPG2_ECOLI,Gene Ontology (cellular component),outer membrane-bounded periplasmic space [GO:0030288]
323,ASPG2_ECOLI,Gene Ontology (molecular function),asparaginase activity [GO:0004067]
324,ASPG2_ECOLI,Gene Ontology (molecular function), identical protein binding [GO:0042802]
325,ASPG2_ECOLI,Gene Ontology (cellular component), periplasmic space [GO:0042597]
326,ASPG2_ECOLI,Gene Ontology (cellular component), protein-containing complex [GO:0032991]
327,ASPG2_ECOLI,Gene Ontology (biological process), protein homotetramerization [GO:0051289]
328,P00811,Gene Ontology (biological process),antibiotic catabolic process [GO:0017001]
329,P00811,Gene Ontology (cellular component),outer membrane-bounded periplasmic space [GO:0030288]
330,P00811,Gene Ontology (molecular function),beta-lactamase activity [GO:0008800]
331,P00811,Gene Ontology (biological process), response to antibiotic [GO:0046677]
332,AMPC_ECOLI,Gene Ontology (biological process),antibiotic catabolic process [GO:0017001]
333,AMPC_ECOLI,Gene Ontology (cellular component),outer membrane-bounded periplasmic space [GO:0030288]
334,AMPC_ECOLI,Gene Ontology (molecular function),beta-lactamase activity [GO:0008800]
335,AMPC_ECOLI,Gene Ontology (biological process), response to antibiotic [GO:0046677]
336,P00864,Gene Ontology (biological process),carbon fixation [GO:0015977]
337,P00864,Gene Ontology (cellular component),cytosol [GO:0005829]
338,P00864,Gene Ontology (molecular function),identical protein binding [GO:0042802]
339,P00864,Gene Ontology (molecular function), magnesium ion binding [GO:0000287]
340,P00864,Gene Ontology (molecular function), phosphoenolpyruvate carboxylase activity [GO:0008964]
341,P00864,Gene Ontology (biological process), gluconeogenesis [GO:0006094]
342,P00864,Gene Ontology (biological process), oxaloacetate metabolic process [GO:0006107]
343,P00864,Gene Ontology (biological process), protein homotetramerization [GO:0051289]
344,P00864,Gene Ontology (biological process), tricarboxylic acid cycle [GO:0006099]
345,CAPP_ECOLI,Gene Ontology (biological process),carbon fixation [GO:0015977]
