UniprotID,P00363,P02943,P0A8Q0,P0A9I1,P0AC47,P0AE74,P0AEX9
GeneName,FRDA,LAMB,FRDC,CITE,FRDB,CITT,MALE
DMSO_rep1,29.953210534178204,26.458436302494974,30.05383517528163,28.73710789284297,30.9295770499741,27.249911412862364,26.805311792627805
DMSO_rep2,30.39930484766957,26.14916307122907,28.95299135119054,28.070859906597967,31.085097418799062,26.50115845006447,26.922332508701057
DMSO_rep3,30.169947940831303,26.350867597584433,30.769409257144563,27.76892294069428,30.863894806157,25.491836216377674,27.054605408622102
DMSO_rep4,29.63810226935128,25.722005030546377,29.264319000335384,28.032279128510478,30.98259544238883,26.77552106549542,27.204588883339643
Suf_rep1,29.82402110355278,27.663344231348837,28.16914105565708,27.11527434024563,31.179449471266576,25.30395703259279,26.337413727872068
Suf_rep2,30.0835517573247,28.092448609166162,29.44107730823073,26.741653659385104,30.314846876890243,25.688062468747926,26.861857052240318
Suf_rep3,29.90650241249017,27.97298695198794,29.17452882369295,26.565183144394084,30.81997866646496,25.551091698141793,27.538206584241404
Suf_rep4,29.520605718505088,27.714078081830046,28.547511821246704,27.33113881432235,30.852207688096268,25.539744869297138,26.754225061498293
